Hey O
everyone O
, O
Tomorrow O
evening O
, O
before O
the O
ball O
, O
we O
will O
be O
screening O
The O
Clay O
Bird O
which O
is O
a O
foreign O
film O
from O
Bangladesh O
with O
the O
MSA O
. O
Afterwards O
, O
we O
plan O
to O
have O
a O
discussion O
with O
Imam O
Sohaib O
about O
the O
film O
and O
some O
of O
its O
themes O
. O
The O
Clay O
Bird O
is O
a O
film O
based O
on O
the O
1971 O
War O
in O
Bangladesh O
. O
It O
tells O
the O
story O
of O
a O
boy O
who O
is O
sent O
to O
study O
at O
a O
madrassa O
and O
the O
hardships O
his O
family O
faces O
. O
It O
shows O
different O
facets O
of O
faith O
, O
culture O
, O
and O
society O
in O
the O
backdrop O
of O
war O
. O
This O
film O
is O
a O
winter O
of O
various O
awards O
and O
earned O
a O
nomination O
as O
Best O
Foreign O
Film O
in O
2002 O
. O
Indian O
Food O
Provided O
from O
Mehek O
! O
! O
! O
When O
Friday O
, O
Nov O
. O
12 O
( O
Tomorrow O
! O
) O
7pm O
- O
9pm O
Where O
Forbes LOCATION
Black LOCATION
Box LOCATION
4oCLDQo O
No O
, O
it's O
not O
JUST O
another O
anime O
screening O
, O
it's O
Another O
anime O
screening O
. O
That O
is O
to O
say O
, O
it's O
an O
anime O
screening O
of O
Another O
. O
We're O
watching O
Another O
at O
the O
anime O
screening O
tonight O
. O
THE O
NAME O
OF O
THE O
ANIME O
IS O
ANOTHER O
. O
For O
those O
of O
you O
who O
have O
never O
heard O
of O
it O
before O
, O
Another O
is O
a O
delightful O
school O
life O
romantic O
comedy O
with O
a O
focus O
on O
cooking O
, O
specifically O
the O
baking O
and O
consumption O
of O
pie O
. O
Did O
I O
say O
delightful O
? O
I O
meant O
delicious O
. O
Unfortunately O
, O
due O
to O
budget O
restraints O
in O
the O
animation O
department O
, O
during O
the O
creation O
of O
the O
show O
, O
they O
had O
to O
cut O
out O
almost O
all O
of O
the O
visible O
pies O
, O
simply O
because O
their O
budget O
couldn't O
support O
the O
level O
of O
flavor O
that O
the O
pastries O
represented O
. O
As O
a O
result O
, O
most O
of O
the O
cooking O
and O
pie O
- O
related O
segments O
of O
the O
show O
occur O
off O
- O
screen O
, O
and O
we're O
left O
to O
extrapolate O
how O
delicious O
the O
pies O
are O
by O
the O
faces O
of O
the O
characters O
when O
they're O
on O
- O
screen O
. O
Apparently O
they're O
pretty O
amazing O
pies O
, O
because O
the O
red O
, O
juicy O
filling O
of O
the O
pies O
, O
which O
I'm O
assuming O
are O
cherry O
flavored O
, O
is O
ofter O
splattered O
all O
over O
the O
characters O
. O
Sometimes O
they've O
eaten O
so O
much O
pie O
that O
the O
filling O
starts O
oozing O
out O
of O
their O
eyes O
or O
jumping O
straight O
from O
inside O
their O
stomach O
to O
their O
skin O
, O
and O
that O
blood O
- O
red O
. O
. O
. O
cherry O
filling O
. O
. O
. O
just O
splatters O
all O
over O
the O
place O
. O
You O
know O
how O
sometimes O
people O
eat O
something O
and O
say O
, O
I'm O
in O
heaven O
! O
because O
it's O
so O
delicious O
? O
That O
happens O
to O
some O
of O
the O
characters O
too O
, O
except O
they O
don't O
have O
time O
to O
say O
the O
line O
before O
they O
actually O
go O
to O
heaven O
. O
I O
guess O
what O
I'm O
trying O
to O
say O
is O
, O
if O
for O
some O
reason O
you're O
uncomfortable O
with O
gratuitous O
amounts O
of O
sanguine O
pie O
- O
filling O
bursting O
out O
of O
your O
favorite O
characters O
, O
then O
you O
probably O
shouldn't O
come O
to O
Another O
@ O
Lewis LOCATION
120 LOCATION
@ O
7 O
, O
because O
you O
probably O
wouldn't O
be O
able O
to O
fully O
appreciate O
the O
Pizza O
we'll O
be O
eating O
. O
But O
if O
you O
like O
cooking O
, O
school O
life O
, O
rom O
- O
com O
, O
or O
'horror O
, O
' O
which O
this O
series O
is O
technically O
classified O
as O
for O
some O
reason O
, O
you O
should O
probably O
come O
see O
why O
pies O
are O
so O
great O
. O
Wait O
, O
did O
I O
say O
delicious O
? O
I O
meant O
disturbing O
. O
Mixing O
up O
'd' O
words O
since O
1967 O
, O
Chet O
and O
Femi O
Hey O
Forbes O
! O
The O
first O
Princeton O
Perspective O
Project O
speaker O
event O
with O
Rachel O
Simmons O
is O
today O
! O
Rachel O
received O
the O
Rhodes O
Scholarship O
and O
then O
dropped O
out O
of O
the O
program O
to O
create O
her O
own O
path O
towards O
success O
. O
During O
her O
talk O
, O
she O
will O
open O
up O
about O
some O
of O
her O
struggles O
and O
setbacks O
, O
and O
give O
some O
tips O
on O
how O
we O
can O
deal O
with O
our O
own O
. O
Rachel O
has O
appeared O
on O
Oprah O
twice O
, O
was O
the O
host O
of O
a O
PBS O
Show O
, O
A O
Girl's O
Life O
, O
and O
has O
written O
for O
many O
online O
publications O
. O
You O
can O
learn O
more O
about O
her O
here O
http O
www O
. O
rachelsimmons O
. O
com O
about O
- O
rachel O
rachels O
- O
bio O
! O
After O
her O
talk O
, O
we'll O
have O
small O
group O
discussions O
for O
you O
to O
talk O
with O
other O
Princetonians O
about O
- O
How O
the O
culture O
at O
Princeton O
tends O
to O
lead O
us O
to O
only O
take O
one O
path O
toward O
success O
- O
Why O
we're O
hesitant O
to O
take O
big O
risks O
, O
and O
how O
we O
can O
change O
that O
- O
What O
it O
means O
to O
find O
our O
own O
inner O
voice O
and O
do O
what O
we O
really O
want O
to O
do O
in O
life O
The O
event O
begins O
at O
7 O
PM O
in O
Campus LOCATION
Club LOCATION
. O
Hope O
to O
see O
