Hey	O	O
Forbes	O	O
,	O	O
this	O	O
Friday	O	O
will	O	O
be	O	O
the	O	O
Tea	O	O
Club's	O	O
first	O	O
and	O	O
only	O	O
event	O	O
this	O	O
semester	O	O
!	O	O
This	O	O
week	O	O
,	O	O
Mary	O	O
A	O	O
.	O	O
Fritschie	O	O
,	O	O
the	O	O
owner	O	O
of	O	O
Infini	O	O
-	O	O
T	O	O
(	O	O
an	O	O
awesome	O	O
caf	O	O
C3	O	O
A9	O	O
in	O	O
tow	O	O
n	O	O
)	O	O
will	O	O
be	O	O
coming	O	O
to	O	O
demonstrate	O	O
how	O	O
she	O	O
prepares	O	O
and	O	O
brews	O	O
her	O	O
most	O	O
popular	O	O
teas	O	O
.	O	O
She	O	O
will	O	O
also	O	O
be	O	O
speaking	O	O
about	O	O
where	O	O
she	O	O
gets	O	O
her	O	O
teas	O	O
from	O	O
-	O	O
locations	O	O
all	O	O
over	O	O
the	O	O
world	O	O
that	O	O
she	O	O
has	O	O
personally	O	O
visited	O	O
.	O	O
Additionally	O	O
,	O	O
the	O	O
sand	O	O
mandala	O	O
the	O	O
Freshmen	O	O
have	O	O
constructed	O	O
will	O	O
be	O	O
ceremonially	O	O
demolished	O	O
,	O	O
which	O	O
you	O	O
can	O	O
only	O	O
see	O	O
once	O	O
!	O	O
This	O	O
is	O	O
going	O	O
to	O	O
be	O	O
an	O	O
awesome	O	O
event	O	O
that	O	O
you	O	O
shouldn't	O	O
miss	O	O
,	O	O
so	O	O
be	O	O
sure	O	O
to	O	O
stop	O	O
by	O	O
Master	LOCATION	LOCATION
Hecht's	LOCATION	LOCATION
house	LOCATION	LOCATION
(	O	O
81	LOCATION	O
Alexander	LOCATION	O
Street	LOCATION	O
)	O	O
between	O	O
4	O	O
and	O	O
5	O	O
30	O	O
PM	O	O
this	O	O
Friday	O	O
!	O	O
Hope	O	O
to	O	O
see	O	O
you	O	O
there	O	O
!	O	O
Ramie	O	O
Fathy	O	O
-	O	O
-	O	O
20	O	O
Ramie	O	O
Fathy	O	O
Princeton	O	O
University	O	O
2016	O	O
Department	O	O
of	O	O
Molecular	O	O
Biology	O	O
M	O	O
(	O	O
865	O	O
)	O	O
387	O	O
7284	O	O
rfathy	O	O
@	O	O
princeton	O	O
.	O	O
edu	O	O
rfathy	O	O
@	O	O
princeton	O	O
.	O	O
edu	O	O
Credit	O	O
Suisse	O	O
Options	O	O
Trading	O	O
Simulation	O	O
co	O	O
-	O	O
sponsored	O	O
by	O	O
Business	O	O
Today	O	O
Monday	O	O
,	O	O
November	O	O
17	O	O
,	O	O
7	O	O
30	O	O
E2	O	O
80	O	O
93	O	O
9	O	O
30	O	O
pm	O	O
Robertson	O	O
Hall	O	O
,	O	O
Bowl	O	O
1	O	O
Please	O	O
join	O	O
us	O	O
for	O	O
an	O	O
Options	O	O
Trading	O	O
Simulation	O	O
with	O	O
Paul	O	O
Staneski	O	O
,	O	O
former	O	O
Credit	O	O
Suisse	O	O
Managing	O	O
Director	O	O
in	O	O
Equities	O	O
and	O	O
Head	O	O
of	O	O
Derivatives	O	O
Solutions	O	O
Training	O	O
.	O	O
The	O	O
growth	O	O
of	O	O
derivatives	O	O
markets	O	O
in	O	O
the	O	O
past	O	O
35	O	O
years	O	O
is	O	O
one	O	O
of	O	O
the	O	O
most	O	O
significant	O	O
developments	O	O
in	O	O
the	O	O
history	O	O
of	O	O
finance	O	O
.	O	O
In	O	O
this	O	O
exercise	O	O
we	O	O
will	O	O
first	O	O
define	O	O
and	O	O
describe	O	O
the	O	O
basic	O	O
types	O	O
of	O	O
derivatives	O	O
and	O	O
then	O	O
the	O	O
class	O	O
will	O	O
determine	O	O
the	O	O
prices	O	O
of	O	O
options	O	O
on	O	O
an	O	O
underlying	O	O
asset	O	O
in	O	O
an	O	O
interactive	O	O
way	O	O
.	O	O
You	O	O
will	O	O
learn	O	O
about	O	O
arbitrage	O	O
and	O	O
learn	O	O
about	O	O
some	O	O
common	O	O
trading	O	O
strategies	O	O
.	O	O
By	O	O
the	O	O
end	O	O
of	O	O
the	O	O
exercise	O	O
you	O	O
will	O	O
understand	O	O
the	O	O
correct	O	O
sources	O	O
of	O	O
an	O	O
option's	O	O
value	O	O
and	O	O
will	O	O
have	O	O
discovered	O	O
some	O	O
fundamental	O	O
pricing	O	O
relationships	O	O
.	O	O
Registration	O	O
Please	O	O
RSVP	O	O
using	O	O
this	O	O
link	O	O
https	O	O
credit	O	O
-	O	O
suisse	O	O
.	O	O
tal	O	O
.	O	O
net	O	O
vx	O	O
lang	O	O
-	O	O
en	O	O
-	O	O
GB	O	O
candidate	O	O
postings	O	O
339	O	O
by	O	O
Monday	O	O
,	O	O
November	O	O
17	O	O
Paul	O	O
received	O	O
his	O	O
BA	O	O
in	O	O
Economics	O	O
(	O	O
with	O	O
High	O	O
Honors	O	O
)	O	O
from	O	O
William	O	O
Mary	O	O
and	O	O
MS	O	O
and	O	O
PhD	O	O
degrees	O	O
in	O	O
Applied	O	O
Mathematics	O	O
from	O	O
Old	O	O
Dominion	O	O
University	O	O
.	O	O
After	O	O
a	O	O
35	O	O
-	O	O
year	O	O
career	O	O
in	O	O
the	O	O
investment	O	O
industry	O	O
,	O	O
Paul	O	O
launched	O	O
his	O	O
own	O	O
education	O	O
and	O	O
consulting	O	O
firm	O	O
,	O	O
Derivatives	O	O
Solutions	O	O
LLC	O	O
,	O	O
in	O	O
2013	O	O
.	O	O
Marilyn	O	O
He	O	O
CREDIT	O	O
SUISSE	O	O
CREDIT	O	O
SUISSE	O	O
Campus	O	O
Recruiting	O	O
Americas	O	O
,	O	O
HLRD	O	O
101	O	O
One	O	O
Madison	O	O
Avenue	O	O
10010	O	O
-	O	O
3629	O	O
New	O	O
York	O	O
United	O	O
States	O	O
Phone	O	O
212	O	O
538	O	O
4058	O	O
marilyn	O	O
.	O	O
he	O	O
@	O	O
credit	O	O
-	O	O
suisse	O	O
.	O	O
com	O	O
www	O	O
.	O	O
credit	O	O
-	O	O
suisse	O	O
.	O	O
com	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
Please	O	O
access	O	O
the	O	O
attached	O	O
hyperlink	O	O
for	O	O
an	O	O
important	O	O
electronic	O	O
communications	O	O
disclaimer	O	O
http	O	O
www	O	O
.	O	O
credit	O	O
-	O	O
suisse	O	O
.	O	O
com	O	O
legal	O	O
en	O	O
disclaimer_email_ib	O	O
.	O	O
html	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
3D	O	O
Hey	O	O
Kappa	O	O
!	O	O
I'm	O	O
a	O	O
project	O	O
coordinator	O	O
for	O	O
the	O	O
SVC	O	O
American	O	O
Red	O	O
Cross	O	O
,	O	O
and	O	O
we're	O	O
having	O	O
a	O	O
blood	O	O
drive	O	O
next	O	O
Thursday	O	O
and	O	O
Friday	O	O
!	O	O
Donating	O	O
blood	O	O
is	O	O
a	O	O
really	O	O
simple	O	O
way	O	O
to	O	O
make	O	O
a	O	O
huge	O	O
difference	O	O
in	O	O
someone's	O	O
life	O	O
,	O	O
and	O	O
it	O	O
would	O	O
mean	O	O
a	O	O
lot	O	O
to	O	O
me	O	O
if	O	O
Kappa	O	O
had	O	O
a	O	O
strong	O	O
showing	O	O
at	O	O
this	O	O
month's	O	O
drive	O	O
.	O	O
If	O	O
you're	O	O
interested	O	O
in	O	O
signing	O	O
up	O	O
,	O	O
check	O	O
out	O	O
the	O	O
email	O	O
below	O	O
!	O	O
Also	O	O
,	O	O
if	O	O
you're	O	O
interested	O	O
in	O	O
getting	O	O
involved	O	O
in	O	O
Red	O	O
Cross	O	O
beyond	O	O
donating	O	O
blood	O	O
,	O	O
we're	O	O
always	O	O
looking	O	O
for	O	O
more	O	O
volunteers	O	O
,	O	O
so	O	O
let	O	O
me	O	O
know	O	O
!	O	O
LNL	O	O
,	O	O
Kristen	O	O
image	O	O
cid	O	O
image004	O	O
.	O	O
jpg	O	O
@	O	O
01CDBB2F	O	O
.	O	O
E0A5C630	O	O
Princeton	O	O
University	O	O
American	O	O
Red	O	O
Cross	O	O
Blood	O	O
Drive	O	O
November	O	O
13	O	O
and	O	O
November	O	O
14	O	O
10	O	O
30am	O	O
-	O	O
8	O	O
30pm	O	O
Frist	LOCATION	LOCATION
Campus	LOCATION	LOCATION
Center	LOCATION	LOCATION
E2	O	O
80	O	O
93	O	O
Multipurpose	LOCATION	LOCATION
Room	LOCATION	LOCATION
B	O	O
C	O	O
MAKE	O	O
YOUR	O	O
APPOINTMENT	O	O
TODAY	O	O
CLICK	O	O
HERE	O	O
http	O	O
www	O	O
.	O	O
redcrossblood	O	O
.	O	O
org	O	O
make	O	O
-	O	O
donation	O	O
-	O	O
sponsor	O	O
?	O	O
field_sponsor_code_valu	O	O
e	O	O
3DPrincetonRedARC	O	O
date	O	O
5Bmin	O	O
5D	O	O
5Bdate	O	O
5D	O	O
3D	O	O
date	O	O
5Bmax	O	O
5D	O	O
5Bdate	O	O
5D	O	O
3D	O	O
S	O	O
Please	O	O
Consider	O	O
donating	O	O
Double	O	O
Red	O	O
Cells	O	O
Click	O	O
Here	O	O
http	O	O
www	O	O
.	O	O
redcrossblood	O	O
.	O	O
org	O	O
donating	O	O
-	O	O
blood	O	O
types	O	O
-	O	O
donations	O	O
double	O	O
-	O	O
